City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kourou,5.1552,-52.6478,26.03,85,28,3.21,GF,1709350483
83,petropavlovsk-kamchatsky,53.0452,158.6483,-0.68,74,40,7.15,RU,1709350489
84,yuzhno-kurilsk,44.0306,145.8556,-5.35,83,93,9.53,RU,1709350659
85,tromso,69.6496,18.957,1.01,75,90,1.54,NO,1709350660
86,puerto natales,-51.7236,-72.4875,5.56,87,38,4.04,CL,1709350489
87,west island,-12.1568,96.8225,29.99,79,75,4.63,CC,1709350660
88,zeya,53.75,127.2667,-15.29,72,100,1.68,RU,1709350660
89,smithers,54.7804,-127.1743,-6.82,58,75,4.63,CA,1709350660
90,iskateley,67.6803,53.1512,0.01,95,100,7.6,RU,1709350660
91,olonkinbyen,70.9221,-8.7187,-4.65,81,99,9.49,SJ,1709350485
92,canela,-29.3656,-50.8156,16.31,96,34,1.76,BR,1709350661
93,lerwick,60.1545,-1.1494,4.0,93,100,7.51,GB,1709350661
94,ouadda,8.0777,22.4007,22.3,21,92,2.04,CF,1709350661
95,erenhot,43.6475,111.9767,-5.91,39,24,5.1,CN,1709350661
96,aban,56.67,96.06,-9.16,88,100,3.79,RU,1709350661
97,dobrich,43.5667,27.8333,7.05,96,100,3.37,BG,1709350662
98,holdrege,40.4403,-99.3698,5.6,75,0,5.14,US,1709350662
99,horta,38.5333,-28.6333,10.57,82,0,4.02,PT,1709350497
100,sola,-13.8833,167.55,32.37,75,75,1.54,VU,1709350662
101,morondava,-20.2833,44.2833,26.7,84,76,3.55,MG,1709350662
102,crucecita,-28.95,-58.9833,24.45,82,0,3.05,AR,1709350662
103,noosa heads,-26.3833,153.15,32.41,56,0,4.35,AU,1709350663
104,meulaboh,4.1363,96.1285,27.33,84,100,2.86,ID,1709350663
105,bethel,41.3712,-73.414,3.34,75,0,1.54,US,1709350411
106,tosontsengel,48.7567,98.2839,-14.4,75,99,1.34,MN,1709350663
107,bilibino,68.0546,166.4372,-10.55,86,100,2.23,RU,1709350456
108,salamanca,40.8333,-6.0,7.57,91,99,8.08,ES,1709350663
109,fort bragg,35.139,-79.006,12.68,94,100,3.09,US,1709350664
110,dudinka,69.4058,86.1778,-10.18,96,100,4.47,RU,1709350664
111,stanley,54.868,-1.6985,0.4,98,20,1.03,GB,1709350482
112,oodweyne,9.4092,45.064,20.38,52,15,3.57,SO,1709350664
113,utrik,11.2278,169.8474,26.95,76,100,8.36,MH,1709350497
114,hadibu,12.65,54.0333,25.29,73,46,6.08,YE,1709350664
115,lincheng,19.9078,109.6858,16.2,84,100,6.19,CN,1709350664
116,port-vila,-17.7338,168.3219,32.78,66,40,2.57,VU,1709350402
117,gazojak,41.1875,61.4036,0.18,54,100,2.95,TM,1709350665
118,hami,42.8,93.45,2.05,22,0,0.48,CN,1709350665
119,tofol,5.3248,163.0078,28.3,72,100,10.1,FM,1709350665
120,uliastay,47.7417,96.8444,-9.72,50,6,1.04,MN,1709350665
121,vorgashor,67.5833,63.95,-5.01,95,100,7.7,RU,1709350665
122,knyaze-volkonskoye,48.4642,135.4567,-7.81,86,100,4.3,RU,1709350666
123,hithadhoo,-0.6,73.0833,28.52,71,83,1.43,MV,1709350666
124,khovd,48.0056,91.6419,-12.63,55,0,1.49,MN,1709350666
125,fortuna,40.5982,-124.1573,7.19,96,100,0.89,US,1709350666
126,pangody,65.85,74.4859,-10.26,96,100,6.59,RU,1709350666
127,tazovsky,67.4667,78.7,-15.0,99,99,3.37,RU,1709350666
128,wailua homesteads,22.0669,-159.378,26.24,73,20,6.17,US,1709350494
129,aydincik,36.1437,33.3202,14.99,51,57,5.12,TR,1709350667
130,as sulayyil,20.4607,45.5779,14.14,16,3,3.73,SA,1709350667
131,avarua,-21.2078,-159.775,28.03,65,51,6.17,CK,1709350490
132,st. john's,47.5649,-52.7093,-7.69,84,75,7.72,CA,1709350205
133,bomdila,27.25,92.4,11.48,59,74,1.87,IN,1709350667
134,pariaman,-0.619,100.12,30.03,71,100,1.92,ID,1709350668
135,galliano,29.4422,-90.2992,16.0,88,0,1.54,US,1709350668
136,san patricio,28.017,-97.5169,15.97,91,5,2.52,US,1709350668
137,kalemie,-5.9475,29.1947,21.64,88,93,1.55,CD,1709350668
138,fisterra,42.9049,-9.2629,11.53,82,100,14.79,ES,1709350668
139,mount gambier,-37.8333,140.7667,20.43,40,23,4.51,AU,1709350668
140,jinxiang,27.4327,120.6062,6.81,70,95,2.97,CN,1709350668
141,adrasmon,40.6472,69.9856,-5.63,86,100,3.89,TJ,1709350669
142,kapuskasing,49.4169,-82.4331,1.0,60,75,4.63,CA,1709350614
143,afaahiti,-17.75,-149.2833,27.93,79,100,6.64,PF,1709350669
144,trincomalee,8.5711,81.2335,27.5,70,92,4.6,LK,1709350669
145,la mira,18.035,-102.3266,22.14,85,99,2.03,MX,1709350669
146,labytnangi,66.6572,66.4183,-5.5,91,100,5.79,RU,1709350669
147,udachny,66.4167,112.4,-15.86,84,97,3.97,RU,1709350486
148,whitehorse,60.7161,-135.0538,-18.57,60,20,4.12,CA,1709350604
149,riyadh,24.6877,46.7219,7.08,15,1,3.13,SA,1709350505
150,korsakov,46.6328,142.7813,-7.31,76,100,4.25,RU,1709350670
151,flying fish cove,-10.4217,105.6791,29.82,79,75,3.6,CX,1709350670
152,adrar,20.5022,-10.0711,16.82,12,27,3.72,MR,1709350670
153,kodinsk,58.6881,99.1844,-13.72,91,99,1.88,RU,1709350670
154,wanganui,-39.9333,175.05,19.61,75,100,6.09,NZ,1709350671
155,kamen'-rybolov,44.7481,132.0403,-8.3,51,76,5.9,RU,1709350671
156,longyearbyen,78.2186,15.6401,-8.09,67,40,12.35,SJ,1709350580
157,toliara,-23.35,43.6667,25.95,69,3,4.57,MG,1709350671
158,tolanaro,-25.0319,46.9987,24.04,94,40,4.12,MG,1709350671
159,sarykemer,43.0,71.5,-0.29,86,100,1.07,KZ,1709350672
160,port mathurin,-19.6833,63.4167,26.57,85,27,8.42,MU,1709350489
